Year,Month,Temperature,Sum
2018,1,-2.52,3748910
2018,2,-0.23,3411811
2018,3,8.68,2668811
2018,4,13.68,1964821
2018,5,18.43,1584962
2018,6,22.98,1357886
2018,7,27.71,1316872
2018,8,28.56,1237111
2018,9,21.5,1213091
2018,10,13.76,1611006
2018,11,8.71,2253348
2018,12,0.87,3189261
2019,1,0.35,3585488
2019,2,2.33,3049666
2019,3,7.97,2603755
2019,4,12.58,2173669
2019,5,19.54,1601578
2019,6,22.26,1324022
2019,7,25.57,1269691
2019,8,27.17,1182872
2019,9,22.7,1160095
2019,10,16.82,1405517
2019,11,8.88,2078290
2019,12,2.74,2979459
2020,1,2.8,3229563
2020,2,3.7,2967326
2020,3,8.5,2517737
2020,4,11.6,1978688
2020,5,18.3,1429414
2020,6,23.7,1179378
2020,7,23.6,1157225
2020,8,27.0,1142099
2020,9,21.4,1160655
2020,10,14.9,1471242
2020,11,9.0,2116835
2020,12,0.8,3217877
